RaceName,Sex,AgeGroup,CountyName,CommunicationType,ElectionType,count
Black,F,30-44,ALLEGAN,text,scomi,1
Unknown,M,65+,BRANCH,call,lpv,6
Native American,M,45-64,OAKLAND,text,lpv,1
Caucasian,M,18-29,MECOSTA,postcards,lpv,7
Hispanic,M,45-64,OTSEGO,text,lpv,6
Unknown,M,30-44,BAY,call,lpv,7
Hispanic,M,18-29,MARQUETTE,text,scomi,5
Caucasian,M,45-64,MACOMB,text,oakland prosecutor,16
Asian,F,30-44,KENT,text,oakland county prosecutor race,1
Black,F,30-44,KALAMAZOO,text,oakland,4
Asian,F,65+,SHIAWASSEE,text,lpv,6
Asian,M,18-29,INGHAM,text,scomi,43
Caucasian,M,65+,LEELANAU,text,scomi,4
Hispanic,F,65+,NEWAYGO,text,scomi,3
Unknown,M,18-29,BAY,call,lpv,6
Caucasian,F,30-44,KENT,text,oakland,7
Native American,F,45-64,OAKLAND,mail,oakland,39
Black,F,45-64,HURON,text,lpv,6
Caucasian,M,45-64,BAY,call,lpv,11
Black,M,30-44,MARQUETTE,text,scomi,5
Caucasian,F,18-29,CHIPPEWA,postcards,lpv,4
Black,M,45-64,LAPEER,text,scomi,2
Caucasian,M,18-29,CASS,postcards,lpv,2
Hispanic,M,30-44,BARAGA,text,lpv,1
Caucasian,F,65+,OTSEGO,mail,oakland,4
Caucasian,M,30-44,KENT,text,oakland county prosecutor race,23
Hispanic,M,30-44,VAN BUREN,call,lpv,204
Caucasian,F,18-29,MUSKEGON,call,lpv,1663
Hispanic,F,18-29,MUSKEGON,mail,lpv,158
Hispanic,M,18-29,GENESEE,call,lpv,185
Unknown,F,18-29,MONROE,mail,lpv,3
Asian,M,30-44,OTTAWA,mail,lpv,84
Native American,M,45-64,ST. JOSEPH,text,lpv,1
Hispanic,F,45-64,CALHOUN,call,lpv,85
Caucasian,F,65+,NEWAYGO,text,lpv,993
Unknown,M,18-29,LEELANAU,call,lpv,2
Caucasian,F,65+,BERRIEN,postcards,lpv,158
Hispanic,F,65+,OCEANA,text,lpv,44
Hispanic,F,18-29,MARQUETTE,text,lpv,33
Asian,F,18-29,CLINTON,call,lpv,9
Asian,M,65+,BERRIEN,call,lpv,28
Caucasian,M,30-44,MACOMB,text,oakland prosecutor,33
Caucasian,M,45-64,OTTAWA,postcards,lpv,36
Unknown,F,45-64,EATON,call,lpv,39
Unknown,M,30-44,IONIA,text,lpv,50
Hispanic,F,65+,BERRIEN,text,scomi,8
Caucasian,F,30-44,SHIAWASSEE,text,scomi,29
Caucasian,F,65+,OTTAWA,mail,oakland,20
Unknown,F,18-29,CLINTON,mail,lpv,19
Black,F,30-44,WASHTENAW,postcards,lpv,20
Black,F,18-29,WASHTENAW,postcards,lpv,48
Asian,M,30-44,LIVINGSTON,call,lpv,12
Hispanic,F,65+,JACKSON,call,lpv,16
Asian,F,18-29,MARQUETTE,mail,lpv,1
Caucasian,M,30-44,GRAND TRAVERSE,text,oakland county prosecutor race,11
Caucasian,M,45-64,LEELANAU,text,oakland county prosecutor race,2
Caucasian,M,45-64,OGEMAW,call,lpv,2
Black,F,18-29,NEWAYGO,text,lpv,24
Asian,F,45-64,GENESEE,text,scomi,3
Unknown,F,30-44,EATON,text,scomi,8
Caucasian,M,30-44,WAYNE,call,oakland,24
Caucasian,M,45-64,CRAWFORD,text,scomi,6
Caucasian,M,30-44,TUSCOLA,text,oakland county prosecutor race,2
Asian,F,30-44,IOSCO,mail,lpv,1
Caucasian,F,18-29,MACOMB,phone,oakland prosecutor,15
Unknown,F,18-29,EATON,text,scomi,4
Caucasian,M,18-29,MECOSTA,mail,lpv,4
Hispanic,M,45-64,GRAND TRAVERSE,text,scomi,1
Hispanic,M,18-29,LIVINGSTON,mail,oakland,12
Hispanic,M,65+,IOSCO,text,lpv,1
Hispanic,F,65+,ALLEGAN,postcards,lpv,2
Native American,F,30-44,CALHOUN,text,lpv,1
Asian,F,18-29,ISABELLA,text,lpv,24
Asian,F,45-64,BAY,text,lpv,6
Asian,F,45-64,IOSCO,text,lpv,12
Black,F,18-29,CLARE,call,lpv,1
Caucasian,M,65+,MASON,text,oakland prosecutor,3
Caucasian,F,65+,WASHTENAW,text,lpv,4809
Caucasian,M,30-44,GRAND TRAVERSE,text,lpv,3139
Hispanic,F,30-44,EATON,text,lpv,589
Unknown,F,30-44,OAKLAND,text,lpv,1693
Caucasian,M,18-29,INGHAM,text,scomi,969
Hispanic,F,18-29,OAKLAND,text,lpv,1035
Caucasian,F,18-29,ST. CLAIR,mail,lpv,1001
Asian,M,18-29,OAKLAND,phone,oakland prosecutor,252
Asian,M,45-64,MACOMB,call,lpv,1020
Hispanic,F,18-29,INGHAM,call,lpv,592
Caucasian,M,65+,ST. JOSEPH,text,lpv,215
Hispanic,F,45-64,SAGINAW,text,lpv,3792
Caucasian,F,30-44,CLINTON,text,lpv,3815
Black,F,65+,OAKLAND,text,oakland prosecutor,135
Hispanic,F,45-64,WASHTENAW,call,lpv,191
Unknown,F,45-64,SAGINAW,text,scomi,104
Caucasian,M,45-64,OTTAWA,mail,lpv,17
Caucasian,F,65+,ROSCOMMON,text,lpv,509
Black,F,18-29,ST. CLAIR,call,lpv,132
Black,M,18-29,OAKLAND,call,lpv,161
Caucasian,F,30-44,GOGEBIC,text,lpv,515
Caucasian,F,30-44,ST. CLAIR,text,oakland,16
Caucasian,M,45-64,LIVINGSTON,call,lpv,5
Hispanic,F,45-64,MONROE,text,lpv,172
Caucasian,F,18-29,OCEANA,mail,lpv,15
Black,M,30-44,CASS,call,lpv,30
Black,M,30-44,CLINTON,text,lpv,155
Hispanic,F,45-64,ST. JOSEPH,call,lpv,43
Caucasian,F,65+,EMMET,text,oakland county prosecutor race,5
Unknown,F,18-29,SAGINAW,text,scomi,15
Black,M,18-29,BAY,call,lpv,18
Caucasian,F,65+,DELTA,text,scomi,9
Caucasian,F,45-64,LENAWEE,mail,oakland,10
Caucasian,F,45-64,GLADWIN,text,scomi,11
Caucasian,F,45-64,WEXFORD,text,oakland county prosecutor race,1
Caucasian,M,30-44,LEELANAU,mail,lpv,16
Caucasian,M,18-29,NEWAYGO,mail,lpv,5
Unknown,F,30-44,SHIAWASSEE,text,lpv,13
Caucasian,M,18-29,MISSAUKEE,text,scomi,4
Caucasian,F,30-44,GRAND TRAVERSE,phone,oakland prosecutor,3
Unknown,M,45-64,OTSEGO,call,lpv,1
Native American,M,65+,MUSKEGON,text,lpv,6
Caucasian,F,30-44,MACKINAC,mail,lpv,4
Unknown,F,30-44,NEWAYGO,call,lpv,8
Unknown,M,65+,MIDLAND,text,lpv,6
Hispanic,M,30-44,LAKE,text,lpv,2
Black,M,45-64,EATON,text,oakland,1
Asian,M,45-64,EATON,postcards,lpv,2
Caucasian,F,45-64,EMMET,text,oakland,1
Asian,F,65+,BAY,mail,lpv,3
Hispanic,F,65+,INGHAM,text,lpv,1457
Asian,M,45-64,INGHAM,call,lpv,247
Caucasian,M,18-29,ARENAC,call,lpv,89
Hispanic,M,30-44,KENT,text,lpv,7781
Black,M,30-44,INGHAM,call,lpv,1507
Asian,M,45-64,CALHOUN,call,lpv,44
Hispanic,M,30-44,SAGINAW,text,lpv,3675
Caucasian,F,65+,ST. JOSEPH,text,lpv,477
Caucasian,F,65+,OSCEOLA,text,lpv,224
Asian,F,30-44,BERRIEN,text,lpv,127
Caucasian,M,18-29,MUSKEGON,text,scomi,120
Black,F,30-44,LAKE,text,lpv,55
Caucasian,F,45-64,PRESQUE ISLE,postcards,lpv,6
Black,F,65+,ALGER,text,lpv,2
Hispanic,M,45-64,IONIA,text,lpv,117
Hispanic,M,30-44,ST. JOSEPH,text,lpv,160
Unknown,F,18-29,GENESEE,call,lpv,152
Hispanic,M,45-64,OCEANA,text,lpv,157
Caucasian,F,65+,GRAND TRAVERSE,postcards,lpv,69
Hispanic,M,18-29,GENESEE,postcards,lpv,7
Black,F,45-64,LAPEER,call,lpv,8
Black,M,65+,CASS,text,lpv,47
Hispanic,F,18-29,GRATIOT,call,lpv,35
Caucasian,F,45-64,CALHOUN,call,lpv,23
Hispanic,F,30-44,HILLSDALE,text,lpv,22
Black,M,30-44,HURON,text,lpv,9
Unknown,F,18-29,ISABELLA,call,lpv,26
Hispanic,F,18-29,MIDLAND,call,lpv,22
Caucasian,F,18-29,GRATIOT,postcards,lpv,4
Caucasian,F,65+,SHIAWASSEE,text,oakland county prosecutor race,1
Caucasian,M,30-44,CHARLEVOIX,postcards,lpv,1
Hispanic,M,65+,SHIAWASSEE,text,lpv,8
Black,M,30-44,MASON,call,lpv,1
Unknown,F,65+,SANILAC,text,lpv,1
Hispanic,F,65+,CLARE,text,lpv,1
Hispanic,F,18-29,BERRIEN,text,scomi,17
Black,F,45-64,CHARLEVOIX,text,lpv,12
Unknown,F,30-44,LUCE,call,lpv,9
Unknown,F,18-29,WEXFORD,call,lpv,1
Caucasian,F,18-29,MACKINAC,mail,lpv,10
Native American,F,30-44,OAKLAND,text,scomi,3
Black,F,65+,BAY,postcards,lpv,4
Caucasian,F,18-29,HOUGHTON,text,scomi,8
Unknown,M,30-44,ALPENA,text,lpv,12
Caucasian,F,65+,OGEMAW,call,lpv,3
Caucasian,F,30-44,LAPEER,mail,lpv,8
Unknown,F,30-44,LIVINGSTON,text,oakland,4
Native American,M,30-44,KENT,mail,lpv,1
Caucasian,F,30-44,GENESEE,phone,oakland,5
Hispanic,F,45-64,NEWAYGO,call,lpv,37
Caucasian,F,30-44,CALHOUN,text,lpv,9395
Caucasian,F,18-29,WAYNE,mail,lpv,11097
Caucasian,F,65+,CALHOUN,text,oakland,4
Caucasian,F,18-29,LIVINGSTON,call,lpv,3276
Black,M,18-29,BERRIEN,text,lpv,2593
Caucasian,M,45-64,NEWAYGO,text,lpv,518
Hispanic,F,30-44,OTTAWA,mail,lpv,1588
Caucasian,F,65+,MUSKEGON,text,scomi,355
Asian,F,30-44,KENT,text,lpv,978
Caucasian,F,18-29,CLINTON,mail,lpv,242
Unknown,M,30-44,BERRIEN,text,lpv,212
Caucasian,F,65+,CRAWFORD,text,scomi,15
Caucasian,M,18-29,OAKLAND,text,scomi,612
Black,F,65+,OAKLAND,postcards,lpv,560
Caucasian,F,30-44,CLINTON,mail,lpv,126
Unknown,F,30-44,INGHAM,call,lpv,269
Asian,M,65+,MACOMB,call,lpv,259
Caucasian,F,65+,BERRIEN,text,scomi,127
Asian,M,45-64,INGHAM,mail,lpv,157
Unknown,M,30-44,GENESEE,mail,lpv,122
Black,F,45-64,ISABELLA,text,lpv,149
Unknown,F,18-29,BRANCH,text,lpv,24
Caucasian,F,65+,MONROE,text,scomi,57
Asian,F,45-64,CHIPPEWA,text,lpv,2
Unknown,F,65+,LENAWEE,text,lpv,37
Black,F,45-64,LUCE,call,lpv,5
Unknown,M,30-44,GRAND TRAVERSE,text,lpv,37
Unknown,F,45-64,LUCE,text,lpv,13
Caucasian,F,18-29,HILLSDALE,text,scomi,11
Caucasian,F,65+,WEXFORD,postcards,lpv,28
Caucasian,M,30-44,ISABELLA,postcards,lpv,13
Unknown,M,45-64,BRANCH,call,lpv,13
Unknown,F,65+,ALLEGAN,mail,lpv,8
Black,F,65+,OTTAWA,mail,lpv,13
Black,F,65+,EATON,call,lpv,56
Unknown,F,18-29,MACOMB,text,oakland,10
Hispanic,F,45-64,LUCE,text,lpv,1
Caucasian,M,18-29,SHIAWASSEE,mail,lpv,19
Black,F,18-29,GRATIOT,text,lpv,2
Caucasian,M,45-64,OTTAWA,call,lpv,23
Black,M,65+,LAKE,text,lpv,33
Black,F,30-44,MONTCALM,call,lpv,21
Caucasian,M,45-64,OGEMAW,postcards,lpv,11
Black,M,30-44,MECOSTA,text,scomi,1
Unknown,F,65+,WASHTENAW,postcards,lpv,7
Caucasian,F,65+,EMMET,text,scomi,6
Caucasian,F,30-44,ANTRIM,call,oakland,4
Black,F,18-29,MIDLAND,call,lpv,15
Hispanic,F,45-64,EMMET,call,lpv,9
Black,M,18-29,KENT,mail,oakland,4
Caucasian,M,65+,LAKE,text,scomi,1
Hispanic,M,30-44,CLARE,text,lpv,15
Unknown,M,45-64,MENOMINEE,call,lpv,4
Hispanic,M,30-44,GOGEBIC,text,lpv,1
Hispanic,M,30-44,MIDLAND,mail,lpv,1
Unknown,F,18-29,MACOMB,text,oakland county prosecutor race,1
Caucasian,F,30-44,CLINTON,text,oakland county prosecutor race,1
Caucasian,F,45-64,SCHOOLCRAFT,call,lpv,1
Asian,M,65+,LIVINGSTON,mail,oakland,4
Caucasian,F,45-64,OTTAWA,mail,oakland,8
Caucasian,F,65+,OAKLAND,text,oakland prosecutor,5147
Caucasian,F,30-44,ST. JOSEPH,text,lpv,1801
Caucasian,M,45-64,GRAND TRAVERSE,text,scomi,15
Black,F,18-29,GENESEE,mail,lpv,3754
Unknown,M,18-29,WAYNE,mail,lpv,1575
Asian,M,18-29,WAYNE,call,lpv,901
Caucasian,F,30-44,MISSAUKEE,text,lpv,340
Caucasian,M,45-64,HILLSDALE,text,lpv,286
Black,F,45-64,INGHAM,text,scomi,113
Caucasian,F,45-64,CLARE,mail,lpv,4
Asian,M,45-64,SAGINAW,text,lpv,94
Black,M,45-64,WAYNE,mail,oakland,315
Asian,M,65+,OTTAWA,text,lpv,127
Unknown,M,45-64,WASHTENAW,mail,lpv,391
Unknown,M,18-29,MUSKEGON,text,scomi,16
Black,F,18-29,MECOSTA,mail,lpv,20
Caucasian,M,45-64,LIVINGSTON,text,oakland prosecutor,8
Hispanic,F,45-64,EATON,text,scomi,34
Hispanic,F,18-29,MARQUETTE,call,lpv,14
Hispanic,F,18-29,CALHOUN,text,lpv,758
Black,M,65+,LAKE,call,lpv,19
Native American,F,18-29,CHIPPEWA,text,lpv,43
Hispanic,M,65+,MONROE,text,lpv,39
Caucasian,F,30-44,IONIA,text,scomi,22
Unknown,F,45-64,VAN BUREN,call,lpv,36
Unknown,M,30-44,ST. CLAIR,text,lpv,171
Caucasian,M,30-44,LEELANAU,text,scomi,6
Hispanic,M,65+,LAKE,text,lpv,9
Asian,F,30-44,CALHOUN,text,scomi,26
Unknown,M,18-29,BARAGA,text,lpv,6
Caucasian,M,65+,CHARLEVOIX,text,scomi,9
Caucasian,F,45-64,ST. JOSEPH,call,lpv,7
Caucasian,F,45-64,EMMET,text,oakland county prosecutor race,6
Caucasian,M,18-29,CHARLEVOIX,mail,lpv,3
Caucasian,M,65+,NEWAYGO,mail,oakland,18
Unknown,M,30-44,TUSCOLA,call,lpv,4
Unknown,F,45-64,MANISTEE,text,lpv,17
Caucasian,M,18-29,ARENAC,text,scomi,4
Caucasian,F,45-64,CHIPPEWA,call,lpv,10
Caucasian,M,65+,WEXFORD,text,oakland county prosecutor race,1
Black,M,30-44,MASON,text,lpv,3
Hispanic,F,18-29,HILLSDALE,call,lpv,8
Hispanic,F,30-44,WASHTENAW,postcards,lpv,2
Hispanic,F,45-64,GENESEE,text,oakland county prosecutor race,1
Caucasian,F,30-44,OTTAWA,mail,oakland,33
Hispanic,F,30-44,LAPEER,text,oakland county prosecutor race,2
Native American,F,30-44,EATON,call,lpv,3
Native American,F,65+,OAKLAND,text,oakland,2
Unknown,F,18-29,GENESEE,postcards,lpv,1
Hispanic,F,65+,KALKASKA,postcards,lpv,3
Hispanic,F,30-44,WEXFORD,text,lpv,1
Asian,M,65+,EATON,postcards,lpv,2
Hispanic,M,18-29,IOSCO,call,lpv,3
Caucasian,M,45-64,BENZIE,text,oakland county prosecutor race,1
Unknown,M,45-64,CASS,text,lpv,35
Caucasian,F,30-44,CLARE,call,lpv,332
Asian,F,65+,OAKLAND,text,lpv,1462
Caucasian,M,18-29,OTTAWA,mail,lpv,1696
Black,M,30-44,MACOMB,text,scomi,1512
Black,M,18-29,OAKLAND,call,oakland,812
Hispanic,M,30-44,KENT,text,scomi,613
Caucasian,M,30-44,BARRY,text,lpv,1623
Unknown,F,65+,OAKLAND,mail,oakland,2899
Black,F,65+,CALHOUN,text,lpv,646
Hispanic,F,30-44,LAPEER,call,lpv,109
Caucasian,F,45-64,EMMET,text,scomi,11
Asian,M,45-64,SAGINAW,call,lpv,41
Caucasian,F,18-29,MECOSTA,text,scomi,3
Asian,F,65+,KENT,call,lpv,92
Caucasian,M,18-29,SHIAWASSEE,text,oakland,5
Hispanic,M,30-44,MIDLAND,text,lpv,70
Caucasian,F,45-64,EMMET,call,lpv,3
Black,M,30-44,WAYNE,text,oakland county prosecutor race,74
Caucasian,M,18-29,LENAWEE,text,scomi,15
Hispanic,M,30-44,BAY,text,scomi,92
Unknown,F,65+,MACOMB,text,scomi,171
Unknown,F,45-64,MIDLAND,text,lpv,17
Caucasian,M,45-64,KENT,text,oakland,8
Black,M,45-64,BAY,call,lpv,37
Caucasian,M,45-64,CLINTON,text,scomi,21
Asian,F,65+,BERRIEN,text,lpv,56
Caucasian,F,18-29,KENT,mail,oakland,16
Asian,M,45-64,ISABELLA,mail,lpv,5
Asian,F,18-29,JACKSON,call,lpv,6
Hispanic,M,45-64,IOSCO,call,lpv,9
Asian,F,18-29,WASHTENAW,text,oakland county prosecutor race,1
Black,M,45-64,ST. CLAIR,text,oakland,3
Caucasian,M,45-64,OTTAWA,phone,oakland,7
Black,M,45-64,ST. JOSEPH,mail,lpv,2
Caucasian,U,45-64,WAYNE,call,lpv,1
Asian,M,65+,MARQUETTE,mail,lpv,1
Hispanic,F,30-44,JACKSON,mail,lpv,4
Native American,M,65+,OAKLAND,text,oakland,2
Hispanic,M,30-44,HURON,text,lpv,3
Unknown,M,18-29,SHIAWASSEE,text,scomi,4
Caucasian,F,18-29,OGEMAW,mail,lpv,1
Caucasian,M,45-64,SAGINAW,text,lpv,1985
Black,M,30-44,GENESEE,mail,lpv,4923
Black,F,18-29,SAGINAW,mail,lpv,1562
Asian,M,30-44,KENT,call,lpv,368
Caucasian,M,18-29,WASHTENAW,mail,lpv,6957
Caucasian,M,30-44,ALLEGAN,text,lpv,3293
Caucasian,M,65+,MACKINAC,text,lpv,150
Black,F,65+,SAGINAW,text,lpv,5266
Asian,M,18-29,CALHOUN,mail,lpv,19
Unknown,F,18-29,KENT,text,lpv,1240
Caucasian,M,18-29,WEXFORD,text,lpv,452
Hispanic,F,30-44,ST. CLAIR,text,lpv,419
Unknown,M,18-29,JACKSON,call,lpv,16
Caucasian,F,65+,LIVINGSTON,postcards,lpv,120
Asian,M,65+,OTTAWA,mail,lpv,38
Hispanic,F,18-29,VAN BUREN,call,lpv,195
Unknown,M,30-44,BERRIEN,call,lpv,56
Unknown,M,18-29,EATON,text,lpv,102
Hispanic,F,45-64,ALLEGAN,call,lpv,171
Caucasian,M,18-29,HURON,text,lpv,413
Caucasian,F,30-44,EATON,text,scomi,138
Asian,F,18-29,OAKLAND,text,scomi,88
Hispanic,M,18-29,LEELANAU,text,scomi,5
Hispanic,F,18-29,ALLEGAN,mail,lpv,158
Unknown,U,18-29,INGHAM,mail,lpv,6
Black,M,18-29,ST. JOSEPH,text,lpv,36
Caucasian,F,65+,CLARE,postcards,lpv,37
Unknown,F,45-64,SHIAWASSEE,text,lpv,15
Black,F,18-29,GRAND TRAVERSE,call,lpv,7
Unknown,F,30-44,MARQUETTE,mail,lpv,39
Unknown,M,30-44,MARQUETTE,text,lpv,41
Caucasian,M,18-29,LAKE,call,lpv,27
Black,F,18-29,MARQUETTE,text,lpv,89
Unknown,M,45-64,GRATIOT,call,lpv,4
Unknown,M,45-64,WASHTENAW,postcards,lpv,2
Black,M,30-44,ST. CLAIR,text,oakland,5
Caucasian,M,18-29,BERRIEN,text,oakland county prosecutor race,4
Caucasian,M,18-29,KENT,mail,oakland,6
Caucasian,M,45-64,MONTMORENCY,postcards,lpv,2
Black,F,45-64,KALAMAZOO,call,oakland,6
Asian,F,65+,KALAMAZOO,text,lpv,89
Unknown,F,45-64,WASHTENAW,postcards,lpv,14
Unknown,F,18-29,ALGER,text,lpv,11
Unknown,M,30-44,HILLSDALE,call,lpv,6
Caucasian,M,45-64,ARENAC,text,oakland county prosecutor race,1
Native American,F,18-29,MACOMB,text,lpv,6
Black,F,30-44,WASHTENAW,text,lpv,11992
Black,M,45-64,JACKSON,text,lpv,798
Hispanic,F,45-64,OTTAWA,mail,lpv,996
Asian,M,45-64,WAYNE,text,lpv,9047
Caucasian,F,30-44,OGEMAW,text,lpv,671
Black,M,45-64,KENT,mail,lpv,2638
Black,F,45-64,SAGINAW,mail,lpv,2265
Black,M,18-29,SAGINAW,text,lpv,5652
Black,M,30-44,WASHTENAW,text,lpv,10987
Caucasian,M,30-44,ISABELLA,text,lpv,2949
Asian,F,45-64,WASHTENAW,mail,lpv,834
Unknown,M,45-64,OAKLAND,text,oakland county prosecutor race,1178
Asian,M,45-64,BERRIEN,text,lpv,120
Caucasian,F,65+,OGEMAW,postcards,lpv,13
Caucasian,M,45-64,IRON,text,lpv,95
Caucasian,M,65+,GLADWIN,phone,oakland prosecutor,3
Caucasian,M,18-29,BARAGA,text,lpv,49
Caucasian,M,45-64,WAYNE,text,oakland,70
Caucasian,M,18-29,OTTAWA,text,scomi,260
Unknown,F,65+,SAGINAW,text,lpv,216
Native American,F,30-44,INGHAM,text,lpv,3
Hispanic,M,45-64,HOUGHTON,call,lpv,2
Black,F,30-44,MACOMB,text,oakland prosecutor,3
Unknown,F,45-64,SANILAC,call,lpv,5
Caucasian,M,65+,TUSCOLA,mail,oakland,9
Hispanic,M,45-64,MIDLAND,text,lpv,35
Caucasian,F,65+,CLINTON,text,scomi,28
Black,M,45-64,GOGEBIC,text,lpv,22
Black,M,30-44,WAYNE,phone,oakland,30
Unknown,F,65+,EATON,mail,lpv,3
Caucasian,M,30-44,EMMET,text,oakland prosecutor,3
Native American,F,18-29,MARQUETTE,call,lpv,1
Asian,M,30-44,MUSKEGON,text,lpv,24
Hispanic,F,18-29,EMMET,text,lpv,13
Caucasian,F,18-29,DELTA,postcards,lpv,7
Unknown,F,18-29,KALKASKA,call,lpv,1
Hispanic,F,45-64,OAKLAND,call,lpv,7
Hispanic,F,18-29,GLADWIN,call,lpv,1
Asian,M,18-29,MONROE,call,lpv,1
Caucasian,M,65+,MONROE,text,oakland prosecutor,2
Black,F,18-29,MACKINAC,text,lpv,12
Unknown,M,18-29,JACKSON,text,scomi,4
Black,M,65+,BRANCH,call,lpv,1
Caucasian,M,30-44,MANISTEE,text,scomi,3
Caucasian,F,30-44,ALGER,text,scomi,2
Native American,F,18-29,MUSKEGON,call,lpv,4
Hispanic,M,30-44,TUSCOLA,text,scomi,1
Caucasian,M,30-44,MONROE,call,lpv,2019
Asian,F,45-64,OAKLAND,mail,lpv,4842
Unknown,F,45-64,MACOMB,text,scomi,476
Asian,M,45-64,OAKLAND,text,oakland county prosecutor race,3515
Black,M,30-44,KENT,text,lpv,13493
Caucasian,M,30-44,LENAWEE,mail,lpv,147
Black,F,45-64,KALAMAZOO,mail,lpv,1135
Caucasian,F,30-44,DICKINSON,text,lpv,1007
Black,M,18-29,MACOMB,mail,lpv,5088
Caucasian,F,45-64,INGHAM,text,scomi,1724
Hispanic,M,18-29,MONROE,call,lpv,86
Asian,M,65+,WASHTENAW,text,lpv,1204
Caucasian,M,65+,ARENAC,text,lpv,194
Caucasian,M,30-44,EMMET,text,lpv,980
Caucasian,F,45-64,DELTA,text,lpv,444
Hispanic,F,30-44,JACKSON,text,lpv,285
Caucasian,F,65+,ARENAC,text,lpv,228
Unknown,M,30-44,KALAMAZOO,text,lpv,811
Caucasian,F,18-29,MONROE,postcards,lpv,44
Caucasian,M,30-44,DICKINSON,call,lpv,276
Caucasian,F,18-29,GLADWIN,text,lpv,293
Black,F,45-64,LENAWEE,call,lpv,35
Black,M,30-44,MANISTEE,call,lpv,8
Native American,M,18-29,MUSKEGON,call,lpv,1
Caucasian,M,65+,KENT,mail,lpv,21
Caucasian,M,65+,KENT,call,lpv,18
Black,F,45-64,ALLEGAN,text,lpv,45
Caucasian,M,45-64,GRATIOT,postcards,lpv,3
Hispanic,M,30-44,IONIA,call,lpv,44
Black,M,45-64,SCHOOLCRAFT,text,lpv,1
Unknown,M,65+,JACKSON,text,lpv,20
Unknown,F,65+,IOSCO,call,lpv,4
Unknown,M,18-29,HILLSDALE,text,lpv,10
Black,F,30-44,BARRY,text,lpv,36
Caucasian,F,30-44,BRANCH,postcards,lpv,1
Black,M,30-44,MARQUETTE,call,lpv,19
Caucasian,F,18-29,PRESQUE ISLE,postcards,lpv,4
Hispanic,M,18-29,LENAWEE,text,scomi,2
Black,M,30-44,LENAWEE,text,scomi,2
Unknown,F,45-64,CASS,call,lpv,15
Asian,M,18-29,WASHTENAW,postcards,lpv,13
Unknown,M,18-29,CHARLEVOIX,call,lpv,1
Unknown,F,45-64,LEELANAU,text,lpv,12
Caucasian,F,45-64,LENAWEE,text,oakland county prosecutor race,5
Black,F,45-64,BARAGA,text,scomi,2
Hispanic,F,30-44,GOGEBIC,text,lpv,6
Unknown,M,45-64,OAKLAND,call,lpv,4
Asian,F,65+,OTTAWA,phone,oakland,5
Caucasian,F,18-29,IOSCO,text,oakland,2
Unknown,M,45-64,NEWAYGO,text,scomi,2
Caucasian,F,30-44,SAGINAW,text,oakland prosecutor,2
Caucasian,M,65+,SAGINAW,text,oakland,3
Caucasian,U,18-29,WASHTENAW,text,scomi,1
Native American,F,18-29,ST. CLAIR,mail,lpv,1
Caucasian,M,30-44,WASHTENAW,text,scomi,2927
Caucasian,M,30-44,OAKLAND,call,oakland,4983
Unknown,M,30-44,VAN BUREN,text,lpv,44
Caucasian,F,45-64,MUSKEGON,text,lpv,2861
Caucasian,F,30-44,MARQUETTE,text,scomi,422
Caucasian,M,30-44,MARQUETTE,text,scomi,323
Hispanic,F,65+,WAYNE,text,scomi,476
Caucasian,F,18-29,LEELANAU,text,lpv,410
