RaceName,Sex,AgeGroup,CountyName,2020_Biden_Support,count
Hispanic,F,65+,Kalamazoo,5. Strong Oppose,1
Caucasian,F,45-64,Macomb,2. Lean Support,10
Caucasian,M,65+,Muskegon,5. Strong Oppose,7
Caucasian,M,30-44,St. Clair,1. Strong Support,12
Unknown,M,18-29,Macomb,5. Strong Oppose,21
Unknown,M,30-44,Ingham,1. Strong Support,10
Black,F,45-64,Kent,2. Lean Support,60
Black,M,18-29,Ingham,1. Strong Support,38
Caucasian,F,30-44,Lapeer,4. Lean Oppose,8
Unknown,M,45-64,Muskegon,5. Strong Oppose,4
Caucasian,F,45-64,Van Buren,1. Strong Support,17
Caucasian,F,45-64,Van Buren,5. Strong Oppose,10
Caucasian,F,45-64,Livingston,2. Lean Support,2
Hispanic,F,30-44,Kent,Not Voting,11
Hispanic,M,45-64,Ionia,5. Strong Oppose,3
Hispanic,M,65+,Bay,1. Strong Support,2
Hispanic,M,30-44,Ottawa,4. Lean Oppose,3
Caucasian,F,30-44,Clinton,5. Strong Oppose,6
Caucasian,F,18-29,Gratiot,4. Lean Oppose,3
Caucasian,F,65+,Genesee,Not Voting,2
Caucasian,M,45-64,Midland,5. Strong Oppose,2
Hispanic,M,30-44,Leelanau,Undecided/Unsure,1
Hispanic,F,18-29,Bay,5. Strong Oppose,1
Caucasian,M,45-64,Kalamazoo,Undecided/Unsure,16
Asian,F,30-44,Washtenaw,1. Strong Support,28
Asian,F,30-44,Wayne,Not Voting,7
Hispanic,F,30-44,Oakland,Undecided/Unsure,21
Caucasian,F,18-29,Wayne,5. Strong Oppose,308
Black,F,30-44,Kent,Not Voting,17
Caucasian,F,18-29,Charlevoix,1. Strong Support,3
Black,M,45-64,Saginaw,1. Strong Support,107
Caucasian,F,45-64,Tuscola,1. Strong Support,4
Hispanic,F,45-64,Bay,4. Lean Oppose,3
Hispanic,F,30-44,Ottawa,Not Voting,3
Hispanic,F,18-29,Washtenaw,Undecided/Unsure,3
Caucasian,F,30-44,Houghton,4. Lean Oppose,3
Caucasian,M,18-29,Saginaw,4. Lean Oppose,4
Asian,F,18-29,Ottawa,5. Strong Oppose,3
Black,F,65+,Eaton,4. Lean Oppose,1
Black,M,45-64,Jackson,2. Lean Support,3
Caucasian,F,45-64,Macomb,5. Strong Oppose,315
Caucasian,F,65+,Kalamazoo,5. Strong Oppose,26
Caucasian,F,30-44,Oakland,1. Strong Support,1527
Caucasian,F,45-64,St. Clair,Undecided/Unsure,1
Unknown,F,30-44,Wayne,1. Strong Support,126
Caucasian,F,65+,Monroe,5. Strong Oppose,47
Hispanic,F,30-44,Washtenaw,Not Voting,6
Hispanic,F,18-29,Wayne,1. Strong Support,101
Black,F,30-44,St. Joseph,Undecided/Unsure,2
Caucasian,F,30-44,Houghton,5. Strong Oppose,9
Black,M,30-44,Grand Traverse,1. Strong Support,4
Caucasian,F,30-44,Otsego,1. Strong Support,5
Caucasian,F,65+,Muskegon,Undecided/Unsure,2
Caucasian,F,30-44,Calhoun,2. Lean Support,7
Caucasian,F,30-44,St. Clair,2. Lean Support,5
Black,U,18-29,Washtenaw,1. Strong Support,1
Caucasian,M,45-64,Muskegon,Undecided/Unsure,1
Caucasian,M,65+,Barry,5. Strong Oppose,3
Hispanic,M,65+,Kalamazoo,1. Strong Support,6
Unknown,F,30-44,Kalamazoo,Not Voting,6
Caucasian,F,30-44,Huron,5. Strong Oppose,3
Caucasian,F,45-64,Ottawa,Undecided/Unsure,2
Unknown,M,30-44,Delta,5. Strong Oppose,1
Caucasian,M,65+,Genesee,5. Strong Oppose,29
Caucasian,M,30-44,Ottawa,Undecided/Unsure,1
Unknown,F,45-64,Oakland,Undecided/Unsure,9
Caucasian,M,18-29,Livingston,2. Lean Support,4
Caucasian,M,18-29,Gogebic,Undecided/Unsure,2
Unknown,M,45-64,Kalamazoo,4. Lean Oppose,1
Black,M,65+,Macomb,Undecided/Unsure,2
Unknown,M,65+,Macomb,5. Strong Oppose,7
Black,F,30-44,Calhoun,4. Lean Oppose,4
Hispanic,M,30-44,Monroe,5. Strong Oppose,3
Caucasian,F,45-64,Chippewa,5. Strong Oppose,2
Caucasian,F,45-64,Lapeer,4. Lean Oppose,1
Caucasian,F,30-44,Mason,1. Strong Support,2
Unknown,F,65+,Ingham,1. Strong Support,1
Caucasian,F,30-44,Oakland,5. Strong Oppose,691
Hispanic,M,65+,Oakland,1. Strong Support,38
Hispanic,F,45-64,Washtenaw,1. Strong Support,15
Caucasian,F,30-44,Kent,Undecided/Unsure,64
Black,F,18-29,Muskegon,1. Strong Support,47
Caucasian,M,18-29,Kalamazoo,4. Lean Oppose,23
Unknown,M,65+,Oakland,5. Strong Oppose,19
Black,M,45-64,Jackson,1. Strong Support,22
Caucasian,M,18-29,Kalamazoo,Undecided/Unsure,19
Black,F,30-44,Muskegon,Undecided/Unsure,7
Black,M,18-29,Eaton,Undecided/Unsure,3
Caucasian,F,18-29,Livingston,Undecided/Unsure,4
Hispanic,F,30-44,Wayne,Not Voting,3
Caucasian,F,18-29,Grand Traverse,1. Strong Support,10
Caucasian,F,30-44,Allegan,2. Lean Support,1
Black,F,45-64,Monroe,Undecided/Unsure,1
Hispanic,M,30-44,Shiawassee,4. Lean Oppose,2
Hispanic,F,45-64,St. Joseph,1. Strong Support,1
Caucasian,M,65+,Genesee,1. Strong Support,86
Unknown,F,45-64,Clinton,1. Strong Support,2
Unknown,F,65+,Genesee,Not Voting,6
Caucasian,M,30-44,Isabella,5. Strong Oppose,3
Caucasian,F,65+,Berrien,5. Strong Oppose,15
Hispanic,F,30-44,Wayne,Undecided/Unsure,15
Hispanic,M,30-44,Oakland,2. Lean Support,18
Caucasian,F,65+,Charlevoix,1. Strong Support,2
Black,M,18-29,Kent,Not Voting,9
Black,F,18-29,Berrien,5. Strong Oppose,17
Black,M,30-44,Lenawee,5. Strong Oppose,8
Caucasian,F,45-64,Mecosta,1. Strong Support,4
Black,F,45-64,Berrien,4. Lean Oppose,2
Caucasian,F,45-64,Crawford,5. Strong Oppose,2
Hispanic,F,65+,Wayne,4. Lean Oppose,5
Caucasian,M,30-44,Sanilac,Undecided/Unsure,3
Caucasian,F,45-64,Shiawassee,1. Strong Support,1
Asian,M,45-64,Eaton,5. Strong Oppose,1
Caucasian,F,18-29,Menominee,5. Strong Oppose,1
Black,M,65+,Branch,5. Strong Oppose,1
Caucasian,F,18-29,Leelanau,1. Strong Support,1
Caucasian,F,45-64,Washtenaw,1. Strong Support,155
Caucasian,F,30-44,Saginaw,5. Strong Oppose,45
Hispanic,M,45-64,Macomb,5. Strong Oppose,9
Caucasian,M,30-44,Wayne,Undecided/Unsure,98
Asian,M,45-64,Oakland,Undecided/Unsure,32
Asian,M,30-44,Macomb,5. Strong Oppose,25
Black,F,18-29,Wayne,Undecided/Unsure,370
Hispanic,F,30-44,Oakland,4. Lean Oppose,5
Caucasian,F,65+,Livingston,5. Strong Oppose,17
Black,M,45-64,Genesee,2. Lean Support,88
Caucasian,M,18-29,Kent,Not Voting,13
Asian,F,30-44,Ingham,Not Voting,3
Black,F,45-64,Kalamazoo,Not Voting,11
Black,M,18-29,Eaton,1. Strong Support,2
Black,M,45-64,Macomb,2. Lean Support,11
Unknown,F,30-44,Chippewa,4. Lean Oppose,3
Caucasian,F,30-44,Gogebic,1. Strong Support,7
Hispanic,F,65+,St. Clair,1. Strong Support,2
Unknown,F,30-44,Shiawassee,1. Strong Support,1
Caucasian,M,30-44,Midland,Undecided/Unsure,1
Black,M,30-44,Shiawassee,5. Strong Oppose,1
Caucasian,F,30-44,Allegan,Not Voting,1
Unknown,M,65+,Delta,4. Lean Oppose,1
Black,F,65+,Washtenaw,2. Lean Support,5
Caucasian,M,65+,Kalamazoo,5. Strong Oppose,12
Black,F,30-44,Genesee,2. Lean Support,121
Black,F,18-29,Macomb,1. Strong Support,397
Hispanic,M,18-29,Washtenaw,1. Strong Support,29
Caucasian,F,18-29,Cass,1. Strong Support,2
Caucasian,F,18-29,Delta,5. Strong Oppose,2
Black,M,18-29,Kalamazoo,4. Lean Oppose,7
Hispanic,F,45-64,Eaton,2. Lean Support,2
Black,M,65+,Muskegon,5. Strong Oppose,11
Caucasian,F,65+,Manistee,1. Strong Support,3
Caucasian,M,65+,Charlevoix,1. Strong Support,1
Caucasian,F,65+,Kalamazoo,4. Lean Oppose,1
Caucasian,F,45-64,Saginaw,Not Voting,1
Caucasian,F,45-64,Lake,4. Lean Oppose,1
Caucasian,F,45-64,Crawford,4. Lean Oppose,1
Unknown,F,45-64,Monroe,1. Strong Support,1
Caucasian,M,18-29,Jackson,5. Strong Oppose,3
Hispanic,F,65+,Ingham,1. Strong Support,6
Asian,M,30-44,Kent,5. Strong Oppose,13
Hispanic,F,45-64,Washtenaw,5. Strong Oppose,2
Black,F,30-44,Kent,4. Lean Oppose,56
Hispanic,M,30-44,Saginaw,5. Strong Oppose,14
Black,M,65+,Oakland,4. Lean Oppose,14
Black,F,65+,Van Buren,1. Strong Support,2
Caucasian,F,45-64,Monroe,5. Strong Oppose,31
Caucasian,M,30-44,Delta,5. Strong Oppose,3
Caucasian,M,30-44,Allegan,5. Strong Oppose,7
Caucasian,F,65+,Emmet,2. Lean Support,1
Caucasian,M,45-64,Huron,5. Strong Oppose,1
Black,M,18-29,Newaygo,1. Strong Support,1
Caucasian,F,65+,Ottawa,1. Strong Support,15
Hispanic,F,65+,Ottawa,1. Strong Support,15
Asian,F,30-44,Calhoun,4. Lean Oppose,6
Black,F,45-64,Kent,1. Strong Support,465
Unknown,F,45-64,Genesee,2. Lean Support,4
Hispanic,F,45-64,Macomb,5. Strong Oppose,16
Caucasian,F,45-64,Clare,1. Strong Support,8
Caucasian,F,18-29,Kalkaska,5. Strong Oppose,2
Black,M,45-64,Ingham,2. Lean Support,2
Black,M,30-44,Macomb,Not Voting,14
Caucasian,M,18-29,St. Clair,1. Strong Support,9
Black,F,45-64,Calhoun,2. Lean Support,11
Caucasian,M,45-64,Lenawee,1. Strong Support,5
Caucasian,M,30-44,Saginaw,Undecided/Unsure,2
Unknown,M,18-29,Kalamazoo,Undecided/Unsure,3
Hispanic,F,30-44,Van Buren,5. Strong Oppose,3
Native American,M,18-29,Macomb,5. Strong Oppose,3
Caucasian,F,30-44,Allegan,4. Lean Oppose,1
Caucasian,F,45-64,Emmet,Undecided/Unsure,1
Hispanic,F,30-44,Gratiot,1. Strong Support,1
Caucasian,F,30-44,Clare,Undecided/Unsure,1
Caucasian,F,18-29,Gogebic,5. Strong Oppose,1
Asian,M,30-44,Saginaw,5. Strong Oppose,1
Asian,M,30-44,Saginaw,4. Lean Oppose,1
Black,M,30-44,Wayne,5. Strong Oppose,1228
Caucasian,F,65+,Mason,5. Strong Oppose,9
Black,F,65+,Saginaw,5. Strong Oppose,60
Black,M,65+,Genesee,1. Strong Support,351
Black,F,30-44,Genesee,Undecided/Unsure,713
Caucasian,M,18-29,Macomb,Undecided/Unsure,34
Caucasian,F,18-29,Muskegon,1. Strong Support,17
Unknown,F,30-44,Washtenaw,2. Lean Support,2
Caucasian,F,18-29,Oakland,Undecided/Unsure,40
Black,M,30-44,Livingston,Undecided/Unsure,3
Caucasian,F,30-44,Hillsdale,1. Strong Support,2
Black,M,30-44,Alcona,1. Strong Support,1
Caucasian,F,45-64,Kalkaska,1. Strong Support,3
Unknown,F,18-29,Kalamazoo,5. Strong Oppose,6
Unknown,F,18-29,Kent,4. Lean Oppose,1
Caucasian,M,65+,Mackinac,1. Strong Support,1
Black,M,45-64,Kent,1. Strong Support,405
Unknown,F,30-44,Kalamazoo,Undecided/Unsure,7
Hispanic,M,45-64,St. Clair,1. Strong Support,1
Unknown,M,30-44,Leelanau,Undecided/Unsure,4
Black,F,45-64,Saginaw,4. Lean Oppose,6
Unknown,M,45-64,Genesee,2. Lean Support,3
Asian,F,45-64,St. Joseph,1. Strong Support,3
Black,F,65+,Washtenaw,4. Lean Oppose,1
Caucasian,M,30-44,Baraga,5. Strong Oppose,1
Black,F,18-29,Lapeer,1. Strong Support,1
Caucasian,M,30-44,Tuscola,1. Strong Support,1
Caucasian,M,65+,Washtenaw,2. Lean Support,6
Caucasian,M,45-64,Calhoun,5. Strong Oppose,11
Caucasian,F,30-44,Wayne,Undecided/Unsure,90
Caucasian,F,30-44,Kalamazoo,5. Strong Oppose,62
Caucasian,F,30-44,Genesee,2. Lean Support,43
Hispanic,M,45-64,Kent,5. Strong Oppose,25
Hispanic,F,18-29,Washtenaw,1. Strong Support,21
Caucasian,F,18-29,Lapeer,1. Strong Support,11
Unknown,F,65+,Oakland,4. Lean Oppose,5
Caucasian,F,65+,Iosco,1. Strong Support,5
Caucasian,M,18-29,Saginaw,5. Strong Oppose,12
Black,M,18-29,Van Buren,1. Strong Support,2
Hispanic,M,30-44,Washtenaw,1. Strong Support,14
Unknown,F,18-29,Kent,5. Strong Oppose,5
Caucasian,M,45-64,Charlevoix,5. Strong Oppose,2
Caucasian,F,45-64,Gratiot,1. Strong Support,4
Unknown,F,18-29,Mecosta,1. Strong Support,2
Unknown,F,65+,Ottawa,1. Strong Support,3
Unknown,F,65+,Wayne,2. Lean Support,3
Hispanic,M,30-44,Isabella,1. Strong Support,4
Caucasian,F,45-64,Alcona,5. Strong Oppose,3
Caucasian,F,65+,Wexford,5. Strong Oppose,1
Black,M,65+,Newaygo,1. Strong Support,1
Caucasian,F,18-29,Bay,4. Lean Oppose,1
Black,F,45-64,Wayne,5. Strong Oppose,980
Caucasian,F,65+,Kent,5. Strong Oppose,42
Caucasian,M,45-64,Ingham,2. Lean Support,4
Caucasian,F,45-64,Gratiot,2. Lean Support,1
Black,M,30-44,Macomb,5. Strong Oppose,229
Black,F,30-44,Macomb,5. Strong Oppose,168
Unknown,F,30-44,Ottawa,Undecided/Unsure,2
Black,M,18-29,Washtenaw,Undecided/Unsure,27
Hispanic,F,18-29,Oakland,Not Voting,12
Asian,F,45-64,Washtenaw,4. Lean Oppose,12
Caucasian,F,18-29,Calhoun,Not Voting,4
Caucasian,F,65+,Jackson,2. Lean Support,3
Caucasian,F,65+,Chippewa,1. Strong Support,4
Caucasian,F,45-64,Ionia,5. Strong Oppose,9
Caucasian,M,65+,Cheboygan,5. Strong Oppose,1
Caucasian,M,45-64,Ontonagon,5. Strong Oppose,1
Caucasian,M,45-64,St. Joseph,1. Strong Support,2
Black,F,30-44,Iosco,5. Strong Oppose,1
Unknown,F,45-64,Chippewa,5. Strong Oppose,1
Black,F,30-44,Monroe,Not Voting,1
Asian,M,65+,Wayne,1. Strong Support,30
Black,M,65+,Macomb,1. Strong Support,59
Asian,M,45-64,Oakland,4. Lean Oppose,22
Asian,M,18-29,Oakland,4. Lean Oppose,4
Black,F,65+,Wayne,Undecided/Unsure,197
Caucasian,F,18-29,Antrim,5. Strong Oppose,1
Unknown,F,30-44,Wayne,2. Lean Support,21
Unknown,F,18-29,Wayne,2. Lean Support,4
Caucasian,M,45-64,Barry,5. Strong Oppose,2
Caucasian,M,30-44,Lake,1. Strong Support,4
Caucasian,M,65+,Kalkaska,1. Strong Support,1
Caucasian,F,18-29,Dickinson,1. Strong Support,3
Unknown,M,65+,Wayne,2. Lean Support,4
Caucasian,F,30-44,Eaton,4. Lean Oppose,4
Caucasian,M,18-29,Keweenaw,1. Strong Support,3
Asian,M,65+,Macomb,Undecided/Unsure,4
Caucasian,M,45-64,Benzie,5. Strong Oppose,3
Caucasian,M,45-64,Shiawassee,2. Lean Support,1
Caucasian,F,45-64,Ottawa,Not Voting,1
Caucasian,M,30-44,Branch,4. Lean Oppose,1
Black,M,65+,Clinton,1. Strong Support,1
Caucasian,F,30-44,Benzie,2. Lean Support,1
Caucasian,F,18-29,Alpena,4. Lean Oppose,1
Caucasian,F,65+,Washtenaw,5. Strong Oppose,41
Black,M,45-64,Macomb,1. Strong Support,562
Black,F,30-44,Wayne,2. Lean Support,548
Caucasian,F,30-44,Ingham,1. Strong Support,141
Caucasian,F,45-64,Eaton,1. Strong Support,17
Caucasian,F,45-64,Washtenaw,5. Strong Oppose,42
Black,M,30-44,Wayne,Not Voting,236
Black,F,30-44,Saginaw,5. Strong Oppose,89
Caucasian,F,18-29,Macomb,Undecided/Unsure,22
Caucasian,M,45-64,Oakland,4. Lean Oppose,42
Caucasian,F,65+,Grand Traverse,1. Strong Support,20
Asian,M,65+,Kent,1. Strong Support,8
Black,F,18-29,Berrien,1. Strong Support,29
Black,F,65+,Mason,1. Strong Support,2
Hispanic,F,45-64,Van Buren,1. Strong Support,7
Asian,F,45-64,Ingham,Not Voting,4
Black,F,30-44,Muskegon,2. Lean Support,6
Caucasian,M,45-64,Baraga,1. Strong Support,2
Hispanic,M,45-64,Lenawee,5. Strong Oppose,6
Caucasian,F,30-44,St. Clair,Undecided/Unsure,5
Hispanic,F,18-29,Lapeer,5. Strong Oppose,3
Black,M,45-64,Baraga,5. Strong Oppose,3
Hispanic,F,65+,Bay,1. Strong Support,1
Black,M,45-64,Lenawee,1. Strong Support,1
Asian,M,30-44,Livingston,1. Strong Support,1
Caucasian,F,18-29,Presque Isle,5. Strong Oppose,1
Unknown,M,30-44,Kalamazoo,4. Lean Oppose,1
Caucasian,F,45-64,Ingham,5. Strong Oppose,39
Caucasian,M,65+,Kent,5. Strong Oppose,15
Unknown,M,65+,Oakland,1. Strong Support,58
Unknown,M,30-44,Wayne,4. Lean Oppose,17
Hispanic,M,18-29,Washtenaw,5. Strong Oppose,7
